COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
4052164,0,0,0,0,0,0,0,0
1014736,1,0,0,0,0,0,1,0
3525834,0,0,0,0,0,0,0,0
3018665,0,0,0,0,0,0,0,0
4051012,0,0,0,0,0,0,0,0
4484852,1,0,0,0,1,0,0,0
4048989,0,0,0,0,0,0,0,0
1006801,0,0,0,0,0,0,0,0
1013336,0,0,0,0,0,0,0,0
4513833,1,0,0,0,0,0,1,0
4046591,0,0,0,0,0,0,0,0
4040946,0,0,0,0,0,0,0,0
4061093,0,0,0,0,0,0,0,0
3523488,0,0,0,0,0,0,0,0
1003961,0,0,0,0,0,0,0,0
3535810,0,0,0,0,0,0,0,0
3525728,0,0,0,0,0,0,0,0
2934921,1,0,0,0,0,0,1,0
3535299,0,0,0,0,0,0,0,0
4043868,0,0,0,0,0,0,0,0
4514286,0,0,0,0,0,0,0,0
1007195,0,0,0,0,0,0,0,0
4514323,4,0,0,0,0,0,4,0
1015234,0,0,0,0,0,0,0,0
1014951,0,0,0,0,0,0,0,0
4054953,0,0,0,0,0,0,0,0
1005242,0,0,0,0,0,0,0,0
4055922,0,0,0,0,0,0,0,0
3521394,0,0,0,0,0,0,0,0
3537910,0,0,0,0,0,0,0,0
4485355,1,0,0,0,1,0,0,0
1023261,1,0,0,0,0,0,1,0
4514266,0,0,0,0,0,0,0,0
4051999,0,0,0,0,0,0,0,0
3527962,0,0,0,0,0,0,0,0
1010755,0,0,0,0,0,0,0,0
1010682,0,0,0,0,0,0,0,0
3535975,0,0,0,0,0,0,0,0
4522242,0,0,0,0,0,0,0,0
1007484,1,0,1,0,0,0,0,0
4053444,0,0,0,0,0,0,0,0
4485192,0,0,0,0,0,0,0,0
1008081,0,0,0,0,0,0,0,0
3057339,0,0,0,0,0,0,0,0
3527544,1,0,1,0,0,0,0,0
3526749,1,0,0,0,1,0,0,0
4485772,0,0,0,0,0,0,0,0
2849728,0,0,0,0,0,0,0,0
4513548,0,0,0,0,0,0,0,0
4046864,0,0,0,0,0,0,0,0
3523310,1,0,0,0,0,0,1,0
1006701,0,0,0,0,0,0,0,0
3529824,0,0,0,0,0,0,0,0
4047150,0,0,0,0,0,0,0,0
1013940,3,0,0,0,0,0,3,0
4048128,0,0,0,0,0,0,0,0
1004573,0,0,0,0,0,0,0,0
3534031,0,0,0,0,0,0,0,0
4041264,0,0,0,0,0,0,0,0
4513803,4,0,0,0,0,0,4,0
4042681,0,0,0,0,0,0,0,0
4053663,0,0,0,0,0,0,0,0
3525113,0,0,0,0,0,0,0,0
4484836,0,0,0,0,0,0,0,0
4046545,0,0,0,0,0,0,0,0
3531815,0,0,0,0,0,0,0,0
1008661,0,0,0,0,0,0,0,0
4042997,0,0,0,0,0,0,0,0
4514002,0,0,0,0,0,0,0,0
4040847,0,0,0,0,0,0,0,0
3526323,0,0,0,0,0,0,0,0
4485565,0,0,0,0,0,0,0,0
4485150,1,0,0,0,1,0,0,0
